,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
12,112,118,132,129,121,135,148,148,136,119,104,118,115
13,118,132,129,121,135,148,148,136,119,104,118,115,126
14,132,129,121,135,148,148,136,119,104,118,115,126,141
15,129,121,135,148,148,136,119,104,118,115,126,141,135
16,121,135,148,148,136,119,104,118,115,126,141,135,125
17,135,148,148,136,119,104,118,115,126,141,135,125,149
18,148,148,136,119,104,118,115,126,141,135,125,149,170
19,148,136,119,104,118,115,126,141,135,125,149,170,170
20,136,119,104,118,115,126,141,135,125,149,170,170,158
21,119,104,118,115,126,141,135,125,149,170,170,158,133
22,104,118,115,126,141,135,125,149,170,170,158,133,114
23,118,115,126,141,135,125,149,170,170,158,133,114,140
24,115,126,141,135,125,149,170,170,158,133,114,140,145
25,126,141,135,125,149,170,170,158,133,114,140,145,150
26,141,135,125,149,170,170,158,133,114,140,145,150,178
27,135,125,149,170,170,158,133,114,140,145,150,178,163
28,125,149,170,170,158,133,114,140,145,150,178,163,172
29,149,170,170,158,133,114,140,145,150,178,163,172,178
30,170,170,158,133,114,140,145,150,178,163,172,178,199
31,170,158,133,114,140,145,150,178,163,172,178,199,199
32,158,133,114,140,145,150,178,163,172,178,199,199,184
33,133,114,140,145,150,178,163,172,178,199,199,184,162
34,114,140,145,150,178,163,172,178,199,199,184,162,146
35,140,145,150,178,163,172,178,199,199,184,162,146,166
36,145,150,178,163,172,178,199,199,184,162,146,166,171
37,150,178,163,172,178,199,199,184,162,146,166,171,180
38,178,163,172,178,199,199,184,162,146,166,171,180,193
39,163,172,178,199,199,184,162,146,166,171,180,193,181
40,172,178,199,199,184,162,146,166,171,180,193,181,183
41,178,199,199,184,162,146,166,171,180,193,181,183,218
42,199,199,184,162,146,166,171,180,193,181,183,218,230
43,199,184,162,146,166,171,180,193,181,183,218,230,242
44,184,162,146,166,171,180,193,181,183,218,230,242,209
45,162,146,166,171,180,193,181,183,218,230,242,209,191
46,146,166,171,180,193,181,183,218,230,242,209,191,172
47,166,171,180,193,181,183,218,230,242,209,191,172,194
48,171,180,193,181,183,218,230,242,209,191,172,194,196
49,180,193,181,183,218,230,242,209,191,172,194,196,196
50,193,181,183,218,230,242,209,191,172,194,196,196,236
51,181,183,218,230,242,209,191,172,194,196,196,236,235
52,183,218,230,242,209,191,172,194,196,196,236,235,229
53,218,230,242,209,191,172,194,196,196,236,235,229,243
54,230,242,209,191,172,194,196,196,236,235,229,243,264
55,242,209,191,172,194,196,196,236,235,229,243,264,272
56,209,191,172,194,196,196,236,235,229,243,264,272,237
57,191,172,194,196,196,236,235,229,243,264,272,237,211
58,172,194,196,196,236,235,229,243,264,272,237,211,180
59,194,196,196,236,235,229,243,264,272,237,211,180,201
60,196,196,236,235,229,243,264,272,237,211,180,201,204
61,196,236,235,229,243,264,272,237,211,180,201,204,188
62,236,235,229,243,264,272,237,211,180,201,204,188,235
63,235,229,243,264,272,237,211,180,201,204,188,235,227
64,229,243,264,272,237,211,180,201,204,188,235,227,234
65,243,264,272,237,211,180,201,204,188,235,227,234,264
66,264,272,237,211,180,201,204,188,235,227,234,264,302
67,272,237,211,180,201,204,188,235,227,234,264,302,293
68,237,211,180,201,204,188,235,227,234,264,302,293,259
69,211,180,201,204,188,235,227,234,264,302,293,259,229
70,180,201,204,188,235,227,234,264,302,293,259,229,203
71,201,204,188,235,227,234,264,302,293,259,229,203,229
72,204,188,235,227,234,264,302,293,259,229,203,229,242
73,188,235,227,234,264,302,293,259,229,203,229,242,233
74,235,227,234,264,302,293,259,229,203,229,242,233,267
75,227,234,264,302,293,259,229,203,229,242,233,267,269
76,234,264,302,293,259,229,203,229,242,233,267,269,270
77,264,302,293,259,229,203,229,242,233,267,269,270,315
78,302,293,259,229,203,229,242,233,267,269,270,315,364
79,293,259,229,203,229,242,233,267,269,270,315,364,347
80,259,229,203,229,242,233,267,269,270,315,364,347,312
81,229,203,229,242,233,267,269,270,315,364,347,312,274
82,203,229,242,233,267,269,270,315,364,347,312,274,237
83,229,242,233,267,269,270,315,364,347,312,274,237,278
84,242,233,267,269,270,315,364,347,312,274,237,278,284
85,233,267,269,270,315,364,347,312,274,237,278,284,277
86,267,269,270,315,364,347,312,274,237,278,284,277,317
87,269,270,315,364,347,312,274,237,278,284,277,317,313
88,270,315,364,347,312,274,237,278,284,277,317,313,318
89,315,364,347,312,274,237,278,284,277,317,313,318,374
90,364,347,312,274,237,278,284,277,317,313,318,374,413
91,347,312,274,237,278,284,277,317,313,318,374,413,405
92,312,274,237,278,284,277,317,313,318,374,413,405,355
93,274,237,278,284,277,317,313,318,374,413,405,355,306
94,237,278,284,277,317,313,318,374,413,405,355,306,271
95,278,284,277,317,313,318,374,413,405,355,306,271,306
96,284,277,317,313,318,374,413,405,355,306,271,306,315
97,277,317,313,318,374,413,405,355,306,271,306,315,301
98,317,313,318,374,413,405,355,306,271,306,315,301,356
99,313,318,374,413,405,355,306,271,306,315,301,356,348
100,318,374,413,405,355,306,271,306,315,301,356,348,355
101,374,413,405,355,306,271,306,315,301,356,348,355,422
102,413,405,355,306,271,306,315,301,356,348,355,422,465
103,405,355,306,271,306,315,301,356,348,355,422,465,467
104,355,306,271,306,315,301,356,348,355,422,465,467,404
105,306,271,306,315,301,356,348,355,422,465,467,404,347
106,271,306,315,301,356,348,355,422,465,467,404,347,305
107,306,315,301,356,348,355,422,465,467,404,347,305,336
108,315,301,356,348,355,422,465,467,404,347,305,336,340
109,301,356,348,355,422,465,467,404,347,305,336,340,318
110,356,348,355,422,465,467,404,347,305,336,340,318,362
111,348,355,422,465,467,404,347,305,336,340,318,362,348
112,355,422,465,467,404,347,305,336,340,318,362,348,363
113,422,465,467,404,347,305,336,340,318,362,348,363,435
114,465,467,404,347,305,336,340,318,362,348,363,435,491
115,467,404,347,305,336,340,318,362,348,363,435,491,505
116,404,347,305,336,340,318,362,348,363,435,491,505,404
117,347,305,336,340,318,362,348,363,435,491,505,404,359
118,305,336,340,318,362,348,363,435,491,505,404,359,310
119,336,340,318,362,348,363,435,491,505,404,359,310,337
120,340,318,362,348,363,435,491,505,404,359,310,337,360
121,318,362,348,363,435,491,505,404,359,310,337,360,342
122,362,348,363,435,491,505,404,359,310,337,360,342,406
123,348,363,435,491,505,404,359,310,337,360,342,406,396
124,363,435,491,505,404,359,310,337,360,342,406,396,420
125,435,491,505,404,359,310,337,360,342,406,396,420,472
126,491,505,404,359,310,337,360,342,406,396,420,472,548
127,505,404,359,310,337,360,342,406,396,420,472,548,559
128,404,359,310,337,360,342,406,396,420,472,548,559,463
129,359,310,337,360,342,406,396,420,472,548,559,463,407
130,310,337,360,342,406,396,420,472,548,559,463,407,362
131,337,360,342,406,396,420,472,548,559,463,407,362,405
132,360,342,406,396,420,472,548,559,463,407,362,405,417
133,342,406,396,420,472,548,559,463,407,362,405,417,391
134,406,396,420,472,548,559,463,407,362,405,417,391,419
135,396,420,472,548,559,463,407,362,405,417,391,419,461
136,420,472,548,559,463,407,362,405,417,391,419,461,472
137,472,548,559,463,407,362,405,417,391,419,461,472,535
138,548,559,463,407,362,405,417,391,419,461,472,535,622
139,559,463,407,362,405,417,391,419,461,472,535,622,606
140,463,407,362,405,417,391,419,461,472,535,622,606,508
141,407,362,405,417,391,419,461,472,535,622,606,508,461
142,362,405,417,391,419,461,472,535,622,606,508,461,390
143,405,417,391,419,461,472,535,622,606,508,461,390,432
