instance,depth,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,37,0.6762820512820513,0.5705128205128205,0.6496815286624203,3.9314239025115967,0.0
balance-scale,2,42,0.717948717948718,0.6410256410256411,0.6624203821656051,4.099539756774902,0.0
balance-scale,2,53,0.6730769230769231,0.5641025641025641,0.6369426751592356,2.996553659439087,0.0
balance-scale,3,37,0.6955128205128205,0.6346153846153846,0.7006369426751592,601.4984204769135,0.8923076923076919
balance-scale,3,42,0.7211538461538461,0.7435897435897436,0.6178343949044586,601.1584062576294,0.9193333333333332
balance-scale,3,53,0.6121794871794872,0.6153846153846154,0.6369426751592356,601.4197082519531,0.8052109181141437
balance-scale,4,37,0.7403846153846154,0.6858974358974359,0.6942675159235668,601.3049547672272,1.0
balance-scale,4,42,0.7532051282051282,0.7692307692307693,0.6878980891719745,601.4298748970032,1.0
balance-scale,4,53,0.7115384615384616,0.7051282051282052,0.6751592356687898,601.2100515365601,1.0
balance-scale,5,37,0.6314102564102564,0.6346153846153846,0.6751592356687898,602.0026435852051,1.0
breast-cancer,2,37,0.6884057971014492,0.782608695652174,0.6714285714285714,4.496525049209595,0.0
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,4.1549177169799805,0.0
breast-cancer,2,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,3.9223687648773193,0.0
breast-cancer,3,37,0.7608695652173914,0.782608695652174,0.7428571428571429,601.2682595252991,0.9999425287331032
breast-cancer,3,42,0.8188405797101449,0.6956521739130435,0.7285714285714285,601.1141576766968,0.9996715926074219
breast-cancer,3,53,0.8043478260869565,0.7101449275362319,0.6428571428571429,601.0311379432678,0.9999999999999998
breast-cancer,4,37,0.782608695652174,0.7971014492753623,0.7142857142857143,601.1908078193665,1.0
breast-cancer,4,42,0.8840579710144928,0.6811594202898551,0.7428571428571429,601.268848657608,1.0
breast-cancer,4,53,0.8260869565217391,0.6956521739130435,0.6714285714285714,600.938404083252,1.0
breast-cancer,5,37,0.782608695652174,0.7101449275362319,0.6428571428571429,601.5137577056885,0.9999999999999992
breast-cancer,5,42,0.8913043478260869,0.782608695652174,0.6714285714285714,601.563417673111,1.0
breast-cancer,5,53,0.782608695652174,0.6086956521739131,0.5428571428571428,601.6120381355286,1.0
